"user_type","code","type","name","parent_id","note"
"View","1115","view","REMESAS EN TRáNSITO","11","Descripción:
Registra el valor de los cheques sobre otras plazas nacionales o del exterior que han sido negociados por el ente económico, los cuales se encuentran pendientes de confirmación.
Dinámica:
Débitos
1. Por el valor del comprobante de consignación o de la nota débito del banco donde se originó la transferencia de los cheques enviados mediante el sistema de remesas, y
2. Por el mayor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado.
Créditos
1. Por la devolución de los cheques enviados mediante el sistema de remesas;
2. Por el valor de las notas crédito del banco receptor como confirmación de los cheques negociados, y
3. Por el menor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado."
"View","111505","view","Moneda nacional","1115",""
"View","111510","view","Moneda extranjera","1115",""
"View","1120","view","CUENTAS DE AHORRO","11","Descripción:
Registra la existencia de fondos a la vista o a término constituidos por el ente económico en las diferentes entidades financieras, las cuales generalmente producen algún tipo de rendimiento.
Dinámica:
Débitos
1. Por los depósitos realizados mediante consignaciones, y
2. Por el valor de la corrección monetaria o los rendimientos devengados.
Créditos
1. Por el valor de los retiros efectuados;
2. Por el valor de las notas débito por concepto de las cuotas de manejo, gastos de papelería, retención en la fuente sobre rendimientos y demás operaciones que disminuyan el saldo disponible del ente económico en la respectiva cuenta, y
3. Por las notas débito por concepto de la devolución de cheques consignados."
"View","112005","view","Bancos","1120",""
"View","112010","view","Corporaciones de ahorro y vivienda","1120",""
"View","112015","view","Organismos cooperativos financieros","1120",""
"View","1125","view","FONDOS","11","Descripción:
Registra el valor de los dineros del ente económico en poder de funcionarios del mismo que son manejados en efectivo o en cuentas corrientes bancarias y están destinados para atender fines especiales o cierta clase de gastos que requieren un tratamiento especial, dadas las necesidades urgentes de la prestación de servicios o adquisición de elementos.
Dinámica:
Débitos
1. Por el valor de los cheques girados para su constitución o incremento;
2. Por el valor de los cheques girados para reembolso de los pagos efectuados, y
3. Por el mayor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado.
Créditos
1. Por la reducción o cancelación del monto inicialmente autorizado;
2. Por el valor de la solicitud de reembolso de los pagos efectuados, y
3. Por el menor valor resultante al convertir las divisas a la tasa de cambio representativa del mercado."
"View","112505","view","Rotatorios moneda nacional","1125",""
"View","112510","view","Rotatorios moneda extranjera","1125",""
"View","112515","view","Especiales moneda nacional","1125",""
"View","112520","view","Especiales moneda extranjera","1125",""
"View","112525","view","De amortización moneda nacional","1125",""
"View","112530","view","De amortización moneda extranjera","1125",""
"View","12","view","INVERSIONES","1","Descripción:
Comprende las cuentas que registran las inversiones en acciones, cuotas o partes de interés social, títulos valores, papeles comerciales o cualquier otro documento negociable adquirido por el ente económico con carácter temporal o permanente, con la finalidad de mantener una reserva secundaria de liquidez, establecer relaciones económicas con otras entidades o para cumplir con disposiciones legales o reglamentarias. Las inversiones representadas en acciones y en cuotas o partes de interés social, se registrarán por su costo histórico. Las demás inversiones, como bonos, cédulas, certificados, etc., se contabilizarán por su valor nominal. Sin embargo, en caso de presentarse diferencias entre este último y el costo histórico, con el propósito de no quebrantar la norma contable básica de ""valuación o medición"", tales diferencias se controlarán a través de cuentas auxiliares complementarias valuativas de la inversión, específicamente en los títulos en que se presente la diferencia. Para el efecto, se utilizarán los rubros descuento por amortizar o prima por amortizar. El costo histórico incluye las sumas en que se incurre para la compra de la inversión, el cual, para el caso de las inversiones representadas en acciones y en cuotas o partes de interés social se ajustará mensual o anualmente, reconociendo el efecto inflacionario de conformidad con lo previsto en las disposiciones legales vigentes. Cuando el ente económico tenga como actividad principal el de rentista de capital, al momento de vender sus inversiones deberá cargar la cuenta 6150 -actividad financiera-. Si dichas inversiones son realizadas en desarrollo de actividades secundarias, cuando el valor de la venta sea mayor que el valor en libros, la diferencia se abonará a la cuenta 4240 -utilidad en venta de inversiones-; pero si el valor de venta es menor, ésta se cargará a la respectiva cuenta de provisiones. En caso de no existir o ser insuficiente la provisión, el saldo deberá debitarse a la subcuenta 531005 -venta de inversiones-. Cuando se posean inversiones en subordinadas, respecto de las cuales el ente económico tenga el poder de disponer que en el período siguiente le transfieran sus utilidades, deben contabilizarse bajo el método de participación, de conformidad con las disposiciones legales vigentes."
"View","1205","view","ACCIONES","12","Descripción:
Registra el costo histórico de las inversiones realizadas por el ente económico en sociedades por acciones y/o asimiladas, el cual incluye las sumas incurridas directamente en su adquisición. Cuando el valor de mercado o de realización sea inferior al costo histórico, éste debe ajustarse mediante una provisión con cargo a los resultados del ejercicio en el cual se presentó la pérdida del valor y si es superior mediante valorización acreditada a la cuenta 3805 -de inversiones-. Para estos efectos se entiende por valor de mercado o de realización el promedio de cotización representativa en las bolsas de valores en el último mes y, a falta de éste, su valor intrínseco, para lo cual se utilizarán estados financieros certificados. El ente económico matriz o controlante debe aplicar el método de participación, cuando se presenten los presupuestos básicos para su aplicación. El tratamiento contable para cuando sea actividad principal o secundaria deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de las acciones adquiridas en la constitución de un ente económico;
2. Por el costo histórico de las inversiones en sociedades por acciones y/o asimiladas;
3. Por el valor de las acciones recibidas en pago de dividendos;
4. Por el valor de las acciones recibidas como dación en pago;
5. Por el valor de las utilidades que le correspondan en la subordinada, cuando el ente económico matriz o controlante utilice el método de participación;
6. Por el valor del incremento patrimonial distintos de los resultados de la subordinada, cuando el ente económico matriz o controlante utilice el método de participación.
Créditos
1. Por el costo histórico o ajustado de las acciones vendidas, según sea el caso;
2. Por el castigo o baja en libros ocasionados por la pérdida de la inversión;
3. Por el valor de los dividendos decretados por la subordinada, cuando el ente económico matriz o controlante utilice el método de participación;
4. Por el valor de las pérdidas que le correspondan en la subordinada, cuando el ente económico matriz o controlante utilice el método de participación, y
5. Por el valor de la disminución patrimonial distintos de los resultados en la subordinada, cuando el ente económico matriz o controlante utilice el método de participación."
"View","120505","view","Agricultura, ganadería, caza y silvicultura","1205",""
"View","120510","view","Pesca","1205",""
"View","120515","view","Explotación de minas y canteras","1205",""
"View","120520","view","Industria manufacturera","1205",""
"View","120525","view","Suministro de electricidad, gas y agua","1205",""
"View","120530","view","Construcción","1205",""
"View","120535","view","Comercio al por mayor y al por menor","1205",""
"View","120540","view","Hoteles y restaurantes","1205",""
"View","120545","view","Transporte, almacenamiento y comunicaciones","1205",""
"View","120550","view","Actividad financiera","1205",""
"View","120555","view","Actividades inmobiliarias, empresariales y de alquiler","1205",""
"View","120560","view","Enseñanza","1205",""
"View","120565","view","Servicios sociales y de salud","1205",""
"View","120570","view","Otras actividades de servicios comunitarios, sociales y personales","1205",""
"View","120599","view","Ajustes por inflación","1205",""
"View","1210","view","CUOTAS O PARTES DE INTERéS SOCIAL","12","Descripción:
Registra el costo histórico de las inversiones realizadas por el ente económico en sociedades de responsabilidad limitada y/o asimiladas, el cual incluye las sumas incurridas directamente en su adquisición. Cuando el valor de mercado o de realización sea inferior al costo histórico, éste debe ajustarse mediante una provisión con cargo a los resultados del ejercicio en el cual se presentó la pérdida del valor y si es superior mediante valorización acreditada a la cuenta 3805 -de inversiones-. Para estos efectos se entiende por valor de mercado o de realización su valor intrínseco, para lo cual se utilizarán estados financieros certificados. El ente económico matriz o controlante debe aplicar el método de participación, cuando se presenten los presupuestos básicos para su aplicación. El tratamiento contable para cuando sea actividad principal o secundaria, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de los aportes adquiridos en la constitución de un ente económico;
2. Por el costo histórico de las inversiones en sociedades de responsabilidad limitada y/o asimiladas;
3. Por el valor de la capitalización de las participaciones;
4. Por el valor de las utilidades que le correspondan en la subordinada, cuando el ente económico matriz o controlante utilice el método de participación;
5. Por el valor del incremento patrimonial distintos de los resultados de la subordinada, cuando el ente económico matriz o controlante utilice el método de participación.
Créditos
1. Por el costo histórico ajustado de las cuotas o derechos vendidos, según sea el caso;
2. Por los castigos o baja en libros ocasionados por la pérdida de la inversión;
3. Por el valor de las participaciones decretadas por la subordinada, cuando el ente económico matriz o controlante utilice el método de participación;
4. Por el valor de las pérdidas que le correspondan en la subordinada, cuando el ente económico utilice el método de participación, y
5. Por el valor de la disminución patrimonial distintos de los resultados en la subordinada, cuando el ente económico matriz o controlante utilice el método de participación."
"View","121005","view","Agricultura, ganadería, caza y silvicultura","1210",""
"View","121010","view","Pesca","1210",""
"View","121015","view","Explotación de minas y canteras","1210",""
"View","121020","view","Industria manufacturera","1210",""
"View","121025","view","Suministro de electricidad, gas y agua","1210",""
"View","121030","view","Construcción","1210",""
"View","121035","view","Comercio al por mayor y al por menor","1210",""
"View","121040","view","Hoteles y restaurantes","1210",""
"View","121045","view","Transporte, almacenamiento y comunicaciones","1210",""
"View","121050","view","Actividad financiera","1210",""
"View","121055","view","Actividades inmobiliarias, empresariales y de alquiler","1210",""
"View","121060","view","Enseñanza","1210",""
"View","121065","view","Servicios sociales y de salud","1210",""
"View","121070","view","Otras actividades de servicios comunitarios, sociales y personales","1210",""
"View","121099","view","Ajustes por inflación","1210",""
"View","1215","view","BONOS","12","Descripción:
Registra el valor de las inversiones hechas por el ente económico en bonos, los cuales son títulos valores que incorporan una parte alícuota de un crédito colectivo constituido a cargo de una sociedad. El tratamiento contable para cuando sea actividad principal o secundaria, así como para el descuento por amortizar o prima por amortizar, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de los bonos adquiridos, y
2. Por el valor de la diferencia en cambio si fuere el caso.
Créditos
1. Por el valor en libros de los bonos vendidos o redimidos, y
2. Por los castigos o baja en libros ocasionados por la pérdida de la inversión."
"View","121505","view","Bonos públicos moneda nacional","1215",""
"View","121510","view","Bonos públicos moneda extranjera","1215",""
"View","121515","view","Bonos ordinarios","1215",""
"View","121520","view","Bonos convertibles en acciones","1215",""
"View","121595","view","Otros","1215",""
"View","1220","view","CéDULAS","12","Descripción:
Registra el valor de las cédulas emitidas por el Banco Central Hipotecario u otras sociedades de capitalización autorizadas para tal fin. El tratamiento contable para cuando sea actividad principal o secundaria, así como para el descuento por amortizar o prima por amortizar, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de las inversiones en cédulas.
Créditos
1. Por el valor en libros de las cédulas vendidas o redimidas."
"View","122005","view","Cédulas de capitalización","1220",""
"View","122010","view","Cédulas hipotecarias","1220",""
"View","122015","view","Cédulas de inversión","1220",""
"View","122095","view","Otras","1220",""
"View","1225","view","CERTIFICADOS","12","Descripción:
Registra el monto de las inversiones realizadas por el ente económico en certificados emitidos por entidades legalmente autorizadas. El tratamiento contable para cuando sea actividad principal o secundaria, así como para el descuento por amortizar o prima por amortizar, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de los certificados;
2. Por el valor del ajuste por corrección monetaria UPAC (hoy UVR) y/o diferencia en cambio, y
3. Por el valor de los rendimientos capitalizados.
Créditos
1. Por el valor en libros de los certificados vendidos o redimidos, y
2. Por el valor nominal de los certificados utilizados en el pago de impuestos."
"View","122505","view","Certificados de depósito a término (CDT)","1225",""
"View","122510","view","Certificados de depósito de ahorro","1225",""
"View","122515","view","Certificados de ahorro de valor constante (CAVC)","1225",""
"View","122520","view","Certificados de cambio","1225",""
"View","122525","view","Certificados cafeteros valorizables","1225",""
"View","122530","view","Certificados eléctricos valorizables (CEV)","1225",""
"View","122535","view","Certificados de reembolso tributario (CERT)","1225",""
"View","122540","view","Certificados de desarrollo turístico","1225",""
"View","122545","view","Certificados de inversión forestal (CIF)","1225",""
"View","122595","view","Otros","1225",""
"View","1230","view","PAPELES COMERCIALES","12","Descripción:
Registra el monto de la inversión realizada por el ente económico en valores de contenido crediticio emitidos por entes comerciales, industriales y de servicios, sometidos a la inspección y vigilancia por parte de entidades del Estado, cuyo objetivo es la financiación del capital de trabajo. El tratamiento contable para cuando sea actividad principal o secundaria, así como para el descuento por amortizar o prima por amortizar, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de constitución debidamente autorizado.
Créditos
1. Por el valor en libros de los papeles comerciales vendidos o redimidos."
"View","123005","view","Empresas comerciales","1230",""
"View","123010","view","Empresas industriales","1230",""
"View","123015","view","Empresas de servicios","1230",""
"View","1235","view","TíTULOS","12","Descripción:
Registra el valor de la inversión realizada por el ente económico en los denominados genéricamente ""títulos"", emitidos por el Gobierno Nacional por intermedio del Banco de la República, otra entidad gubernamental o financiera, debidamente autorizada. El tratamiento contable para cuando sea actividad principal o secundaria, así como para el descuento por amortizar o prima por amortizar, según sea el caso, deberá obedecer a lo expuesto en la descripción del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el valor de los títulos, y
2. Por el valor de la diferencia en cambio.
Créditos
1. Por el valor en libros de los títulos vendidos o redimidos."
"View","123505","view","Títulos de desarrollo agropecuario","1235",""
"View","123510","view","Títulos canjeables por certificados de cambio","1235",""
"View","123515","view","Títulos de tesorería (TES)","1235",""
"View","123520","view","Títulos de participación","1235",""
"View","123525","view","Títulos de crédito de fomento","1235",""
"View","123530","view","Títulos financieros agroindustriales (TFA)","1235",""
"View","123535","view","Títulos de ahorro cafetero (TAC)","1235",""
"View","123540","view","Títulos de ahorro nacional (TAN)","1235",""
"View","123545","view","Títulos energéticos de rentabilidad creciente (TER)","1235",""
"View","123550","view","Títulos de ahorro educativo (TAE)","1235",""
"View","123555","view","Títulos financieros industriales y comerciales","1235",""
"View","123560","view","Tesoros","1235",""
"View","123565","view","Títulos de devolución de impuestos nacionales (TIDIS)","1235",""
"View","123570","view","Títulos inmobiliarios","1235",""
"View","123595","view","Otros","1235",""
"View","1240","view","ACEPTACIONES BANCARIAS O FINANCIERAS","12","Descripción:
Registra el valor de la inversión realizada por el ente económico en instrumentos de financiación denominados aceptaciones bancarias o financieras.
Dinámica:
Débitos
1. Por el valor del documento aceptado por la entidad financiera, y
2. Por el valor de la diferencia en cambio.
Créditos
1. Por la venta o redención de las aceptaciones bancarias."
"View","124005","view","Bancos comerciales","1240",""
"View","124010","view","Compañías de financiamiento comercial","1240",""
"View","124015","view","Corporaciones financieras","1240",""
"View","124095","view","Otras","1240",""
"View","1245","view","DERECHOS FIDUCIARIOS","12","Descripción:
Registra el valor de los bienes entregados con el propósito de cumplir una finalidad específica, bien sea en beneficio del fideicomitente o de un tercero en calidad de fideicomiso de inversión.
Dinámica:
Débitos
1. Por el valor de los bienes entregados en fideicomiso de inversión;
2. Por el valor de la diferencia en cambio, si fuere del caso, y
3. Por el valor de los rendimientos obtenidos.
Créditos
1. Por la terminación del negocio fiduciario."
"View","124505","view","Fideicomisos de inversión moneda nacional","1245",""
"View","124510","view","Fideicomisos de inversión moneda extranjera","1245",""
"View","1250","view","DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS)","12","Descripción:
Registra las inversiones restringidas que resultan de la transferencia de las inversiones negociadas y representa la ""garantía colateral"" de la cuenta 2135 -compromisos de recompra de inversiones negociadas-. Corresponde a la negociación por cuenta propia de inversiones transadas bajo la modalidad de venta de inversiones con pacto de recompra a la vista o a término. Estas operaciones no deben ser tratadas como ventas en ""firme"", puesto que deben tomarse en su verdad material y no la puramente formal, toda vez que debido al pacto tácito o expreso, existe la certeza del cumplimiento del pacto de recompra (vendedor) y retroventa (comprador). En caso de incumplimiento del pacto por una de las partes o de ambas, se estará frente a un evento diferente que generará derechos y obligaciones propias a tal circunstancia. En este evento, a la venta con pacto de recompra se le debe dar el tratamiento de venta en ""firme"". Por tanto, estas operaciones serán tratadas como ""compromisos de recompra o retroventa"", y en consecuencia no suspenderán la causación y/o amortización del reconocimiento de los correspondientes ingresos (intereses y/o descuentos), ni la asignación de los gastos (prima) de la inversión.
Dinámica:
Débitos
1. Por la transferencia en el momento del recaudo de fondos, y
2. Por el valor del ajuste por diferencia en cambio, según sea el caso.
Créditos
1. Por el cumplimiento del pacto, restableciendo la disponibilidad del título correspondiente."
"View","125005","view","Acciones","1250",""
"View","125010","view","Cuotas o partes de interés social","1250",""
"View","125015","view","Bonos","1250",""
"View","125020","view","Cédulas","1250",""
"View","125025","view","Certificados","1250",""
"View","125030","view","Papeles comerciales","1250",""
"View","125035","view","Títulos","1250",""
"View","125040","view","Aceptaciones bancarias o financieras","1250",""
"View","125095","view","Otros","1250",""
"View","125099","view","Ajustes por inflación","1250",""
"View","1255","view","OBLIGATORIAS","12","Descripción:
Registra el monto de las inversiones de carácter forzoso realizadas por el ente económico en cumplimiento de exigencias legales emanadas de las autoridades pertinentes.
Dinámica:
Débitos
1. Por el costo de las inversiones.
Créditos
1. Por la venta o redención de los títulos."
"View","125505","view","Bonos de financiamiento especial","1255",""
"View","125510","view","Bonos de financiamiento presupuestal","1255",""
"View","125515","view","Bonos para desarrollo social y seguridad interna (BDSI)","1255",""
"View","125595","view","Otras","1255",""
"View","1260","view","CUENTAS EN PARTICIPACIóN","12","Descripción:
Registra el valor del aporte efectuado por el partícipe, en desarrollo de contratos de cuentas en participación suscritos y desarrollados conforme a lo previsto en la legislación comercial vigente.
Dinámica:
Débitos
1. Por el valor de los aportes efectuados.
Créditos
1. Por el valor registrado, a la finalización y liquidación del contrato."
"View","126099","view","Ajustes por inflación","1260",""
"View","1295","view","OTRAS INVERSIONES","12","Descripción:
Registra el costo de las inversiones que el ente económico ha realizado en valores diferentes a los descritos anteriormente dentro del grupo 12 -inversiones-.
Dinámica:
Débitos
1. Por el costo de adquisición de la inversión.
Créditos
1. Por la venta, donación o redención de la inversión."
"View","129505","view","Aportes en cooperativas","1295",""
"View","129510","view","Derechos en clubes sociales","1295",""
"View","129515","view","Acciones o derechos en clubes deportivos","1295",""
"View","129520","view","Bonos en colegios","1295",""
"View","129595","view","Diversas","1295",""
"View","129599","view","Ajustes por inflación","1295",""
"View","1299","view","PROVISIONES","12","Descripción:
Registra los valores provisionados por el ente económico, con cargo a las cuentas de resultado, con el fin de cubrir la diferencia resultante entre el costo de las inversiones y el valor de mercado o intrínseco, según sea el caso. Es una cuenta de valuación del activo, de naturaleza crédito.
Dinámica:
Créditos
1. Por el menor valor de las inversiones en el mercado bursátil y/o valor intrínseco. La contrapartida o cargo se registrará en la subcuenta 519905 ó 529905 -inversiones-, según sea el caso.
Débitos
1. Por la reversión de las provisiones excesivas o indebidas con abono a la subcuenta 519905 ó 529905 -inversiones-, según sea el caso, cuando corresponda al mismo ejercicio, o a la subcuenta 425035 -de provisiones-, si es de ejercicios anteriores, y
2. Por el valor de la aplicación que se haga de la provisión por enajenación, traspaso o cancelación de la inversión ya sea total o parcial."
"View","129905","view","Acciones","1299",""
"View","129910","view","Cuotas o partes de interés social","1299",""
"View","129915","view","Bonos","1299",""
"View","129920","view","Cédulas","1299",""
"View","129925","view","Certificados","1299",""
"View","129930","view","Papeles comerciales","1299",""
"View","129935","view","Títulos","1299",""
"View","129940","view","Aceptaciones bancarias o financieras","1299",""
"View","129945","view","Derechos fiduciarios","1299",""
"View","129950","view","Derechos de recompra de inversiones negociadas","1299",""
"View","129955","view","Obligatorias","1299",""
"View","129960","view","Cuentas en participación","1299",""
"View","129995","view","Otras inversiones","1299",""
"View","13","view","DEUDORES","1","Descripción:
Comprende el valor de las deudas a cargo de terceros y a favor del ente económico, incluidas las comerciales y no comerciales. De este grupo hacen parte, entre otras, las siguientes cuentas: clientes, cuentas corrientes comerciales, cuentas por cobrar a casa matriz, cuentas por cobrar a vinculados económicos, cuentas por cobrar a socios y accionistas, aportes por cobrar, anticipos y avances, cuentas de operación conjunta, depósitos y promesas de compraventa. En este grupo también se incluye el valor de la provisión pertinente, de naturaleza crédito, constituida para cubrir las contingencias de pérdida la cual debe ser justificada, cuantificable y confiable. Los valores representados en moneda extranjera se deberán ajustar a la tasa de cambio representativa del mercado."
"View","1305","view","CLIENTES","13","Descripción:
Registra los valores a favor del ente económico y a cargo de clientes nacionales y/o extranjeros de cualquier naturaleza, por concepto de ventas de mercancías, productos terminados, servicios y contratos realizados en desarrollo del objeto social, así como la financiación de los mismos. Para el caso de las sociedades administradoras de consorcios comerciales, se deben llevar por separado tanto los grupos cerrados como vigentes, entendiéndose por grupos cerrados aquellos en los cuales el bien o servicio objeto del contrato se ha adjudicado en su totalidad a los integrantes del grupo y por grupos vigentes aquellos en los cuales no ha sido adjudicada la totalidad de los bienes o servicios. Debe presentarse por separado cada uno de los rubros que conforman la subcuenta 130515 -deudores del sistema-, a saber: cuota neta y de administración, por cada grupo de suscriptores.
Dinámica:
Débitos
1. Por el valor de los productos, mercancías o servicios vendidos a crédito;
2. Por el valor de las notas débito por cheques devueltos por los bancos;
3. Por el ajuste por diferencia en cambio, de la cartera expresada en moneda extranjera;
4. Por el valor adjudicado y recibido por el suscriptor favorecido de acuerdo con el plan previsto en el contrato, ya sea por sorteo o por oferta;
5. Por el reajuste de las cuotas netas adeudadas por el suscriptor favorecido, en la misma proporción en que varíe el precio del bien o servicio objeto del contrato. El reajuste no opera para aquellas cuotas en mora;
6. Por el valor de la causación periódica y sistemática de las cuotas de administración en mora, y
7. Por la cesión de derechos de acuerdo con las normas establecidas.
Créditos
1. Por el valor de los pagos efectuados por los clientes;
2. Por el valor de las devoluciones de productos, mercancías o servicios no aceptados;
3. Por el valor de los descuentos o bonificaciones por cualquier concepto;
4. Por los traslados a cuentas de difícil cobro;
5. Por el valor de las notas crédito que origine el ente económico a favor de sus clientes;
6. Por el ajuste por diferencia en cambio, de la cartera expresada en moneda extranjera;
7. Por el saldo a favor que tenga el suscriptor favorecido en la cuenta acreedores del sistema, al momento de hacerse la entrega del bien o prestado el servicio;
8. Por el valor de la cesión de derechos de acuerdo con las normas legales vigentes en el momento de dicha cesión, e
9. Por el valor de las reconsignaciones de los cheques devueltos."
"View","130505","view","Nacionales","1305",""
"View","130510","view","Del exterior","1305",""
"View","130515","view","Deudores del sistema","1305",""
"View","1310","view","CUENTAS CORRIENTES COMERCIALES","13","Descripción:
Registra el valor de las operaciones comerciales celebradas entre dos entes económicos, reguladas por las normas legales vigentes. Esta modalidad consiste en un negocio jurídico que tiene por características ser bilateral, oneroso, conmutativo y de ejecución sucesiva, para el cual se acuerdan anotar y compensar en cuenta abierta por debe y haber sus eventuales créditos recíprocos y se establecen condiciones de exigibilidad y disponibilidad del saldo resultante de la compensación progresiva operada. Las remesas pueden consistir en mercaderías, dineros, títulos valores, comisiones, créditos, etc., las cuales han de convertirse en partidas de la cuenta.
Dinámica:
Débitos
1. Por el valor de las facturas por ventas o prestación de servicios;
2. Por el valor de los dineros entregados;
3. Por las notas débito por ajustes relativos a las ventas o prestación de servicios;
4. Por las notas débito por cargos relativos a intereses, comisiones, egresos por pagos a cuenta de terceros o cualquier otro concepto, y
5. Por el ajuste por diferencia en cambio de la cartera expresada en moneda extranjera.
Créditos
1. Por el valor de las facturas por compras o prestación de servicios recibidos;
2. Por el valor de las partidas de dinero recibidas;
3. Por las notas crédito por ajustes relativos a las ventas o prestación de servicios;
4. Por las notas crédito por abonos relativos a intereses, comisiones, pagos por su cuenta a terceros o cualquier otro concepto, y
5. Por el ajuste por diferencia en cambio de la cartera expresada en moneda extranjera."
"View","131005","view","Casa matriz","1310",""
"View","131010","view","Compañías vinculadas","1310",""
"View","131015","view","Accionistas o socios","1310",""
"View","131020","view","Particulares","1310",""
"View","131095","view","Otras","1310",""
